50;1.22;3;88.23;135.79;28.79;0.16;0.15;526200;0,5262
50;1.22;3;88.23;135.79;28.79;0.16;0.15;527000;0,527
50;1.22;3;88.23;135.79;28.79;0.16;0.15;490500;0,4905
50;1.22;3;88.23;135.79;28.79;0.16;0.15;487100;0,4871
50;1.22;3;88.23;135.79;28.79;0.16;0.15;437300;0,4373
50;1.22;4;97.59;241.21;28.79;0.14;0.13;409100;0,4091
50;1.22;3;88.23;135.79;28.79;0.16;0.15;409500;0,4095
50;1.22;3;88.23;135.79;28.79;0.16;0.15;407300;0,4073
50;1.22;3;88.23;135.79;28.79;0.16;0.15;393100;0,3931
50;1.22;3;88.23;135.79;28.79;0.16;0.15;480800;0,4808
50;1.22;3;88.23;135.79;28.79;0.16;0.15;406000;0,406
50;1.22;3;88.23;135.79;28.79;0.16;0.15;397300;0,3973
50;1.22;3;88.23;135.79;28.79;0.16;0.15;395600;0,3956
50;1.22;3;88.23;135.79;28.79;0.16;0.15;394000;0,394
50;1.22;3;88.23;135.79;28.79;0.16;0.15;390800;0,3908
50;1.22;3;88.23;135.79;28.79;0.16;0.15;395100;0,3951
50;1.22;3;88.23;135.79;28.79;0.16;0.15;381100;0,3811
50;1.22;4;97.59;241.21;28.79;0.14;0.13;395200;0,3952
50;1.22;3;88.23;135.79;28.79;0.16;0.15;390100;0,3901
50;1.22;3;88.23;135.79;28.79;0.16;0.15;383100;0,3831
50;1.22;3;88.23;135.79;28.79;0.16;0.15;387500;0,3875
50;1.22;3;88.23;135.79;28.79;0.16;0.15;398100;0,3981
50;1.22;3;88.23;135.79;28.79;0.16;0.15;377500;0,3775
50;1.22;3;88.23;135.79;28.79;0.16;0.15;391200;0,3912
50;1.22;3;88.23;135.79;28.79;0.16;0.15;378200;0,3782
50;1.22;3;88.23;135.79;28.79;0.16;0.15;379300;0,3793
50;1.22;3;88.23;135.79;28.79;0.16;0.15;423300;0,4233
50;1.22;3;88.23;135.79;28.79;0.16;0.15;391600;0,3916
50;1.22;3;88.45;219.36;25.44;0.16;0.15;385600;0,3856
50;1.22;3;88.23;135.79;28.79;0.16;0.15;390300;0,3903
50;1.22;3;88.23;135.79;28.79;0.16;0.15;392800;0,3928
50;1.22;4;97.59;241.21;28.79;0.14;0.13;392500;0,3925
50;1.22;3;88.23;135.79;28.79;0.16;0.15;391500;0,3915
50;1.22;3;88.23;135.79;28.79;0.16;0.15;376500;0,3765
50;1.22;3;88.23;135.79;28.79;0.16;0.15;386400;0,3864
50;1.22;3;88.23;135.79;28.79;0.16;0.15;393600;0,3936
50;1.22;3;88.23;135.79;28.79;0.16;0.15;393800;0,3938
50;1.22;3;88.23;135.79;28.79;0.16;0.15;390800;0,3908
50;1.22;4;97.59;241.21;28.79;0.14;0.13;393500;0,3935
50;1.22;4;97.59;241.21;28.79;0.14;0.13;393000;0,393
50;1.22;3;88.23;135.79;28.79;0.16;0.15;391000;0,391
50;1.22;3;88.23;135.79;28.79;0.16;0.15;386400;0,3864
50;1.22;3;88.23;135.79;28.79;0.16;0.15;392900;0,3929
