48;1.27;3;354.14;996.17;28.79;0.12;0.14;481
46;1.33;3;586.52;2112.56;29.88;0.21;0.15;492
45;1.36;4;391.41;1348.75;28.79;0.17;0.16;492
48;1.27;3;290.33;815.97;29.88;0.17;0.16;493
48;1.27;4;326.55;855.25;39.72;0.17;0.13;491
43;1.42;3;398.14;1679.02;28.79;0.22;0.22;489
47;1.3;3;298.19;855.25;28.79;0.18;0.17;493
50;1.22;3;415.37;1679.02;28.79;0.11;0.11;491
44;1.39;3;435.43;1679.02;28.79;0.19;0.19;488
45;1.36;4;454.42;1241.69;76.67;0.2;0.15;491
44;1.39;4;427.43;2152.91;28.79;0.2;0.2;492
47;1.3;3;345.11;1116.05;28.79;0.18;0.18;492
45;1.36;3;423.95;1203.61;76.67;0.23;0.17;491
52;1.17;3;401.49;1241.69;28.79;0.09;0.08;495
50;1.22;3;240.97;602.26;28.79;0.14;0.13;493
48;1.27;3;280.14;905.03;28.79;0.15;0.17;492
45;1.36;3;309.86;1203.61;28.79;0.21;0.17;492
45;1.36;4;456.45;1348.75;28.79;0.19;0.15;491
47;1.3;2;350.47;1203.61;30.3;0.22;0.2;493
47;1.3;3;334.45;1348.75;28.79;0.13;0.13;492
52;1.17;3;328.92;1187.85;28.79;0.08;0.07;494
48;1.27;3;308.94;1203.61;28.79;0.15;0.15;492
46;1.33;3;302.68;1348.75;28.79;0.2;0.18;492
43;1.42;3;465.54;1241.69;32.7;0.23;0.21;490
48;1.27;3;366.42;996.17;28.79;0.19;0.16;492
47;1.3;3;259.21;1203.61;30.3;0.19;0.17;492
46;1.33;3;345.26;1187.85;29.88;0.2;0.18;493
48;1.27;3;506.14;1679.02;28.79;0.16;0.12;493
46;1.33;2;421.91;1116.05;30.3;0.26;0.21;492
48;1.27;3;401.77;1241.69;28.79;0.16;0.13;492
48;1.27;3;360.42;1187.85;30.3;0.2;0.14;492
47;1.3;3;421.5;1241.69;28.79;0.18;0.15;491
47;1.3;3;349.88;996.17;32.7;0.2;0.14;492
50;1.22;3;258.74;1348.75;28.79;0.1;0.12;492
46;1.33;3;424.87;1679.02;29.88;0.25;0.18;491
43;1.42;3;438.97;1241.69;28.79;0.21;0.22;489
47;1.3;3;313.15;1203.61;28.79;0.2;0.19;488
48;1.27;3;272.05;1203.61;28.79;0.14;0.16;479
46;1.33;3;451.4;1348.75;29.88;0.18;0.17;486
50;1.22;3;227.15;815.97;28.79;0.13;0.13;492
44;1.39;3;486.52;1679.02;28.79;0.2;0.16;490
47;1.3;3;372.89;1203.61;28.79;0.16;0.17;489
48;1.27;3;415.21;1679.02;29.88;0.18;0.13;489
48;1.27;3;363.44;956.53;28.79;0.16;0.15;491
51;1.2;3;349.69;1187.85;28.79;0.12;0.09;491
48;1.27;3;353.44;1116.05;28.79;0.17;0.16;487
44;1.39;3;342.2;1203.61;28.79;0.21;0.21;489
48;1.27;4;379.75;1203.61;28.79;0.13;0.11;492
49;1.24;3;362.09;1203.61;28.79;0.13;0.13;491
48;1.27;2;426.71;1203.61;29.88;0.21;0.15;491
47;1.3;4;483.88;2152.91;28.79;0.1;0.14;489
47;1.3;3;417.67;1679.02;29.88;0.18;0.15;492
49;1.24;4;446.65;1203.61;30.3;0.15;0.13;493
48;1.27;3;293.32;1348.75;28.79;0.14;0.15;493
45;1.36;3;454.44;1241.69;28.79;0.21;0.17;492
48;1.27;3;403.06;1679.02;28.79;0.17;0.14;490
48;1.27;3;418.81;1679.02;28.79;0.21;0.15;492
46;1.33;3;555.72;2306.97;30.3;0.17;0.16;492
49;1.24;3;624.4;2394.72;30.3;0.19;0.12;493
48;1.27;3;415.46;2306.97;29.88;0.18;0.18;489
45;1.36;3;505.21;1241.69;30.3;0.23;0.18;490
47;1.3;3;402.31;1241.69;32.7;0.19;0.16;490
46;1.33;3;309.43;1203.61;28.79;0.22;0.2;492
48;1.27;3;313.83;1203.61;28.79;0.17;0.16;491
48;1.27;3;316.28;1187.85;28.79;0.16;0.14;491
48;1.27;3;407.9;1348.75;30.3;0.17;0.15;491
45;1.36;3;405.66;1679.02;28.79;0.19;0.17;491
49;1.24;3;310.46;1203.61;28.79;0.15;0.14;497
45;1.36;4;459.5;1241.69;30.3;0.17;0.17;491
48;1.27;3;358.91;996.17;28.79;0.2;0.15;493
49;1.24;3;468.87;1241.69;30.3;0.15;0.12;492
46;1.33;3;315.55;1187.85;28.79;0.2;0.16;491
47;1.3;3;344.13;1116.05;28.79;0.18;0.17;493
49;1.24;3;311.23;855.25;28.79;0.16;0.13;490
47;1.3;3;323.18;855.25;32.7;0.2;0.14;490
46;1.33;3;354.73;1203.61;28.79;0.19;0.19;490
47;1.3;3;322.85;905.03;28.79;0.18;0.18;491
47;1.3;3;335.4;905.03;28.79;0.21;0.18;492
47;1.3;3;464.93;1187.85;30.3;0.22;0.16;492
47;1.3;3;355.7;1203.61;28.79;0.19;0.17;492
43;1.42;3;421.01;1241.69;28.79;0.21;0.2;489
46;1.33;3;391.16;1187.85;28.79;0.21;0.14;491
46;1.33;3;318.55;1203.61;28.79;0.18;0.17;492
47;1.3;3;350.96;1348.75;30.3;0.15;0.16;491
45;1.36;3;369.63;1679.02;29.88;0.26;0.2;491
44;1.39;4;461.65;2152.91;28.79;0.16;0.18;490
50;1.22;3;468.86;1241.69;28.79;0.12;0.1;490
44;1.39;4;397.42;2152.91;28.79;0.19;0.19;491
48;1.27;3;456.98;2306.97;28.79;0.14;0.15;492
50;1.22;3;367.81;1203.61;41.91;0.14;0.1;493
49;1.24;3;313.07;1203.61;28.79;0.15;0.13;490
46;1.33;4;351.26;905.03;28.79;0.15;0.15;491
43;1.42;3;393.12;1203.61;28.79;0.22;0.22;490
47;1.3;3;309.5;1203.61;29.88;0.2;0.19;492
43;1.42;3;339.33;996.17;28.79;0.24;0.22;487
48;1.27;3;344.5;1348.75;32.7;0.13;0.12;490
46;1.33;3;297.1;855.25;28.79;0.19;0.19;488
46;1.33;4;331.13;1203.61;28.79;0.17;0.17;491
48;1.27;3;519.1;1241.69;28.79;0.16;0.13;487
50;1.22;3;325.31;855.25;28.79;0.14;0.13;488
45;1.36;3;270.84;681.07;28.79;0.29;0.21;173
45;1.36;3;243.25;719.51;28.79;0.26;0.21;160
48;1.27;3;342.98;1313.79;28.79;0.21;0.17;159
49;1.24;3;226.1;657.79;28.79;0.22;0.13;157
48;1.27;3;364.78;1522.47;25.04;0.12;0.11;161
47;1.3;3;370.9;1522.47;29.88;0.24;0.18;157
46;1.33;3;263.41;892.77;25.04;0.26;0.2;161
42;1.45;3;261.48;892.77;28.79;0.32;0.25;163
47;1.3;3;200.72;452.19;25.44;0.23;0.15;161
48;1.27;3;435.67;1522.47;30.3;0.18;0.13;161
47;1.3;3;161.17;435.53;28.79;0.27;0.22;162
46;1.33;3;247.28;657.79;28.79;0.23;0.18;159
42;1.45;4;295.54;1522.47;28.79;0.26;0.22;162
48;1.27;4;271.92;819.6;28.79;0.19;0.13;160
43;1.42;3;318.5;1116.05;25.44;0.31;0.24;160
45;1.36;3;349.89;1167.56;28.79;0.29;0.19;159
50;1.22;3;342.81;1522.47;32.7;0.16;0.1;161
45;1.36;3;367.64;2176.25;28.79;0.26;0.21;160
46;1.33;3;303.94;1522.47;28.79;0.24;0.2;161
48;1.27;3;217.53;657.79;28.79;0.24;0.14;161
